id	plumos_recipe	plumos_class	version_policy	onion_display_version	onion_binary_date	embedded_build_date	lock_date	lock_date_source	onion_builder_repo	onion_builder_ref	onion_builder_subdir	onion_builder_makefile	onion_builder_args	resolved_source_commit	resolved_source_date	resolved_source_subject	plumos_ref	resolution_status	notes
fmsx	yes	A	prefer_onion_version	6.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/fmsx-libretro.git	master	-	Makefile	-	1360c9ff32b390383567774d01fbe5d6dfcadaa3	2022-07-26T14:23:04+02:00	Update .gitlab-ci.yml	1360c9ff32b390383567774d01fbe5d6dfcadaa3	resolved	ref=master resolved_from=refs/remotes/origin/master
freechaf	yes	O	prefer_onion_version	GIT	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/FreeChaF.git	master	-	Makefile	-	4d1d5cb83b93728a63f03454e472a23055d9bbfc	2022-07-30T21:11:31+02:00	Merge pull request #34 from phcoder/makevar	4d1d5cb83b93728a63f03454e472a23055d9bbfc	resolved	ref=master resolved_from=refs/remotes/origin/master
freeintv	yes	O	prefer_onion_version	2018.1.5	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/FreeIntv.git	master	-	Makefile	-	9a65ec6e31d48ad0dae1f381c1ec61c897f970cb	2022-08-05T12:28:10+02:00	Merge pull request #83 from zoltanvb/master	9a65ec6e31d48ad0dae1f381c1ec61c897f970cb	resolved	ref=master resolved_from=refs/remotes/origin/master
frodo	yes	O	prefer_onion_version	v4.2	2023-10-17T18:21:23+00:00	-	2023-10-17T18:21:23Z	onion_binary_commit_date	https://github.com/libretro/frodo-libretro.git	master	-	Makefile	-	77d2f2d1572fca4331e5449d7c3e636574e6735c	2023-03-04T14:39:23+00:00	Update Makefile.libretro	77d2f2d1572fca4331e5449d7c3e636574e6735c	resolved	ref=master resolved_from=refs/remotes/origin/master
fuse	yes	O	prefer_onion_version	1.6.0	2023-05-29T11:38:24+02:00	-	2023-05-29T09:38:24Z	onion_binary_commit_date	https://github.com/libretro/fuse-libretro.git	master	-	Makefile	-	c0262040008a7efba04dd01f8cc7a8f96102f83b	2023-02-05T00:57:31+01:00	Display selected joystick at startup	c0262040008a7efba04dd01f8cc7a8f96102f83b	resolved	ref=master resolved_from=refs/remotes/origin/master
gambatte	yes	A	prefer_onion_version	v0.5.0	2023-05-29T11:38:24+02:00	-	2023-05-29T09:38:24Z	onion_binary_commit_date	https://github.com/libretro/gambatte-libretro.git	master	-	Makefile	-	90701d6e5d68d31ead49f92f222c144c44a2645c	2023-05-28T05:59:22+02:00	Fix tvos build (#249)	90701d6e5d68d31ead49f92f222c144c44a2645c	resolved	ref=master resolved_from=refs/remotes/origin/master
gearboy	yes	O	prefer_onion_version	3.2.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/drhelius/Gearboy.git	master	platforms/libretro	Makefile	-	8762faf754a84891078d4b2597c557a828631c9e	2022-06-22T17:33:28+02:00	Update backers.h	8762faf754a84891078d4b2597c557a828631c9e	resolved	ref=master resolved_from=refs/remotes/origin/master
gearsystem	yes	O	prefer_onion_version	3.2.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/drhelius/Gearsystem.git	master	platforms/libretro	Makefile	-	5d6fedacb3ef2a9481fa52aac67fefb47aaf72c0	2022-06-22T17:32:30+02:00	Update backers.h	5d6fedacb3ef2a9481fa52aac67fefb47aaf72c0	resolved	ref=master resolved_from=refs/remotes/origin/master
genesis_plus_gx	yes	A	prefer_onion_version	v1.7.4	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/Genesis-Plus-GX.git	master	-	Makefile.libretro	-	aea7b9d5475ec02427fbb00a9093cae74b87ff8a	2022-09-01T20:13:56+02:00	Merge branch 'ekeeke:master' into master	aea7b9d5475ec02427fbb00a9093cae74b87ff8a	resolved	ref=master resolved_from=refs/remotes/origin/master
gme	yes	O	prefer_onion_version	Git	2023-02-02T01:43:52+01:00	-	2023-02-02T00:43:52Z	onion_binary_commit_date	https://github.com/libretro/libretro-gme.git	master	-	Makefile	-	635b1e9124195eeb44d8a865f258cc2c92846694	2022-07-26T15:31:06+02:00	Detect if arch is set to ppc, and if so, do not try to link against libc++	635b1e9124195eeb44d8a865f258cc2c92846694	resolved	ref=master resolved_from=refs/remotes/origin/master
