system_id	display_name	rom_dirs	extensions	runtime	launch_profile	core_id	built_core	deployed_core	fe_selectable	fe_executable	target_for_verification	default_profile	verification_status	notes
gba	GBA	GBA;gba	gba;zip;7z	RA	retroarch:mednafen_gba	mednafen_gba	yes	yes	yes	yes	yes	no	fail_perf	systems.json
gba	GBA	GBA;gba	gba;zip;7z	RA	retroarch:meteor	meteor	yes	yes	yes	yes	yes	no	fail_perf	systems.json
gba	GBA	GBA;gba	gba;zip;7z	RA	retroarch:vba_next	vba_next	yes	yes	yes	yes	yes	no	fail_perf	systems.json
gba	GBA	GBA;gba	gba;zip;7z	RA	retroarch:vbam	vbam	yes	yes	yes	yes	yes	no	fail_perf	systems.json
gba	GBA	GBA;gba	gba;zip;7z	PICO	picoarch:mgba	mgba	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
gba	GBA	GBA;gba	gba;zip;7z	PICO	picoarch:gpsp	gpsp	yes	yes	yes	yes	yes	no	pass	FE auto companion
gba	GBA	GBA;gba	gba;zip;7z	PICO	picoarch:mednafen_gba	mednafen_gba	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
gba	GBA	GBA;gba	gba;zip;7z	PICO	picoarch:meteor	meteor	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
gba	GBA	GBA;gba	gba;zip;7z	PICO	picoarch:vba_next	vba_next	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
gba	GBA	GBA;gba	gba;zip;7z	PICO	picoarch:vbam	vbam	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	RA	retroarch:gambatte	gambatte	yes	yes	yes	yes	yes	yes	pass_init	systems.json
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	RA	retroarch:mgba	mgba	yes	yes	yes	yes	yes	no	fail_boot	systems.json
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	RA	retroarch:gearboy	gearboy	yes	yes	yes	yes	yes	no	pass_init	systems.json
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	RA	retroarch:tgbdual	tgbdual	yes	yes	yes	yes	yes	no	pass_init	systems.json
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	RA	retroarch:vbam	vbam	yes	yes	yes	yes	yes	no	pass_init	systems.json
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	PICO	picoarch:gambatte	gambatte	yes	yes	yes	yes	yes	no	pass_init	FE auto companion
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	PICO	picoarch:mgba	mgba	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	PICO	picoarch:gearboy	gearboy	yes	yes	yes	yes	yes	no	pass_init	FE auto companion
gbc	GBC	GBC;GB;gbc	gbc;zip;7z	PICO	picoarch:vbam	vbam	yes	yes	yes	yes	yes	no	pass_init	FE auto companion
intellivision	Intellivision	INTELLIVISION;intellivision	int;bin;rom;zip;7z	RA	retroarch:freeintv	freeintv	yes	yes	yes	yes	yes	yes	pass_init	systems.json
j2me	Java ME	J2ME;j2me	jar;sqc;jam;jad;kjx;adf;sec;sto;sp;sp0;sp1;sp2;sp3;sp4;sp5;sp6;sp7;sp8;sp9	RA	retroarch:squirreljme	squirreljme	yes	yes	yes	yes	yes	yes	untested	systems.json
j2me	Java ME	J2ME;j2me	jar;sqc;jam;jad;kjx;adf;sec;sto;sp;sp0;sp1;sp2;sp3;sp4;sp5;sp6;sp7;sp8;sp9	PICO	picoarch:squirreljme	squirreljme	yes	yes	yes	yes	yes	no	untested	FE auto companion
jaguar	Atari Jaguar	JAGUAR;atarijaguar	j64;jag;rom;abs;cof;bin;prg	RA	retroarch:virtualjaguar	virtualjaguar	yes	yes	yes	yes	yes	yes	fail_perf	systems.json
jaguar	Atari Jaguar	JAGUAR;atarijaguar	j64;jag;rom;abs;cof;bin;prg	PICO	picoarch:virtualjaguar	virtualjaguar	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
lowresnx	LowRes NX	LOWRESNX;lowresnx	nx	RA	retroarch:lowresnx	lowresnx	yes	yes	yes	yes	yes	yes	untested	systems.json
lowresnx	LowRes NX	LOWRESNX;lowresnx	nx	PICO	picoarch:lowresnx	lowresnx	yes	yes	yes	yes	yes	no	untested	FE auto companion
lutro	Lutro	LUTRO;lutro	lutro;love;lua	RA	retroarch:lutro	lutro	yes	yes	yes	yes	yes	yes	untested	systems.json
lutro	Lutro	LUTRO;lutro	lutro;love;lua	PICO	picoarch:lutro	lutro	yes	yes	yes	yes	yes	no	untested	FE auto companion
lynx	Atari Lynx	LYNX;lynx	lnx;lyx;bll;o;zip;7z	RA	retroarch:mednafen_lynx	mednafen_lynx	yes	yes	yes	yes	yes	yes	pass_init	systems.json
lynx	Atari Lynx	LYNX;lynx	lnx;lyx;bll;o;zip;7z	RA	retroarch:handy	handy	yes	yes	yes	yes	yes	no	pass_init	systems.json
lynx	Atari Lynx	LYNX;lynx	lnx;lyx;bll;o;zip;7z	PICO	picoarch:mednafen_lynx	mednafen_lynx	yes	yes	yes	yes	yes	no	pass_init	FE auto companion
lynx	Atari Lynx	LYNX;lynx	lnx;lyx;bll;o;zip;7z	PICO	picoarch:handy	handy	yes	yes	yes	yes	yes	no	pass_init	FE auto companion
mame2003plus	MAME 2003+	MAME2003PLUS;ARCADE;mame	zip;7z	RA	retroarch:mame2003_plus	mame2003_plus	yes	yes	yes	yes	yes	yes	fail_perf	systems.json
mame2003plus	MAME 2003+	MAME2003PLUS;ARCADE;mame	zip;7z	PICO	picoarch:mame2003_plus	mame2003_plus	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
mastersystem	Master System	MS;MD;mastersystem	sms;bin;zip;7z	RA	retroarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	yes	pass	systems.json
mastersystem	Master System	MS;MD;mastersystem	sms;bin;zip;7z	RA	retroarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	systems.json
mastersystem	Master System	MS;MD;mastersystem	sms;bin;zip;7z	RA	retroarch:gearsystem	gearsystem	yes	yes	yes	yes	yes	no	pass	systems.json
mastersystem	Master System	MS;MD;mastersystem	sms;bin;zip;7z	PICO	picoarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	no	pass	FE auto companion
mastersystem	Master System	MS;MD;mastersystem	sms;bin;zip;7z	PICO	picoarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	FE auto companion
mastersystem	Master System	MS;MD;mastersystem	sms;bin;zip;7z	PICO	picoarch:gearsystem	gearsystem	yes	yes	yes	yes	yes	no	pass	FE auto companion
megadrive	Mega Drive	MD;megadrive;genesis	gen;md;smd;bin;zip;7z	RA	retroarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	yes	pass	systems.json
megadrive	Mega Drive	MD;megadrive;genesis	gen;md;smd;bin;zip;7z	RA	retroarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	systems.json
megadrive	Mega Drive	MD;megadrive;genesis	gen;md;smd;bin;zip;7z	PICO	picoarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	no	pass	FE auto companion
megadrive	Mega Drive	MD;megadrive;genesis	gen;md;smd;bin;zip;7z	PICO	picoarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	FE auto companion
microw8	MicroW8	MICROW8;microw8	uw8;wasm	RA	retroarch:uw8	uw8	yes	yes	yes	yes	yes	yes	untested	systems.json
microw8	MicroW8	MICROW8;microw8	uw8;wasm	PICO	picoarch:uw8	uw8	yes	yes	yes	yes	yes	no	untested	FE auto companion
mrboom	Mr.Boom	MRBOOM;mrboom	desktop	RA	retroarch:mrboom	mrboom	yes	yes	yes	yes	yes	yes	untested	systems.json
mrboom	Mr.Boom	MRBOOM;mrboom	desktop	PICO	picoarch:mrboom	mrboom	yes	yes	yes	yes	yes	no	untested	FE auto companion
msx	MSX	MSX;msx	rom;mx1;mx2;dsk;cas;zip;7z	RA	retroarch:bluemsx	bluemsx	yes	yes	yes	yes	yes	yes	pass	systems.json
msx	MSX	MSX;msx	rom;mx1;mx2;dsk;cas;zip;7z	RA	retroarch:fmsx	fmsx	yes	yes	yes	yes	yes	no	pass	systems.json
msx	MSX	MSX;msx	rom;mx1;mx2;dsk;cas;zip;7z	PICO	picoarch:bluemsx	bluemsx	yes	yes	yes	yes	yes	no	pass	FE auto companion
msx	MSX	MSX;msx	rom;mx1;mx2;dsk;cas;zip;7z	PICO	picoarch:fmsx	fmsx	yes	yes	yes	yes	yes	no	pass	FE auto companion
music	Game Music Emu	MUSIC;music	ay;gbs;gym;hes;kss;nsf;nsfe;sap;spc;vgm;vgz;zip	RA	retroarch:gme	gme	yes	yes	yes	yes	yes	yes	untested	systems.json
music	Game Music Emu	MUSIC;music	ay;gbs;gym;hes;kss;nsf;nsfe;sap;spc;vgm;vgz;zip	PICO	picoarch:gme	gme	yes	yes	yes	yes	yes	no	untested	FE auto companion
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	RA	retroarch:fbneo	fbneo	yes	yes	yes	yes	yes	yes	pass	systems.json
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	RA	retroarch:mame2003_plus	mame2003_plus	yes	yes	yes	yes	yes	no	fail_boot	systems.json
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	RA	retroarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	systems.json
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	RA	retroarch:fbalpha2012_neogeo	fbalpha2012_neogeo	yes	yes	yes	yes	yes	no	pass	systems.json
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	PICO	picoarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	pass	FE auto companion
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	PICO	picoarch:mame2003_plus	mame2003_plus	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	PICO	picoarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	FE auto companion
neogeo	Neo Geo	NEOGEO;neogeo	zip;7z	PICO	picoarch:fbalpha2012_neogeo	fbalpha2012_neogeo	yes	yes	yes	yes	yes	no	pass	FE auto companion
neogeocd	Neo Geo CD	NEOCD;neogeocd	cue;chd	RA	retroarch:fbneo	fbneo	yes	yes	yes	yes	yes	yes	fail_boot	systems.json
neogeocd	Neo Geo CD	NEOCD;neogeocd	cue;chd	RA	retroarch:neocd	neocd	yes	yes	yes	yes	yes	no	pass	systems.json
neogeocd	Neo Geo CD	NEOCD;neogeocd	cue;chd	PICO	picoarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
neogeocd	Neo Geo CD	NEOCD;neogeocd	cue;chd	PICO	picoarch:neocd	neocd	yes	yes	yes	yes	yes	no	pass	FE auto companion
nes	NES	FC;nes;famicom	nes;unf;unif;zip;7z	RA	retroarch:fceumm	fceumm	yes	yes	yes	yes	yes	yes	pass	systems.json
nes	NES	FC;nes;famicom	nes;unf;unif;zip;7z	RA	retroarch:nestopia	nestopia	yes	yes	yes	yes	yes	no	pass	systems.json
nes	NES	FC;nes;famicom	nes;unf;unif;zip;7z	RA	retroarch:quicknes	quicknes	yes	yes	yes	yes	yes	no	pass	systems.json
nes	NES	FC;nes;famicom	nes;unf;unif;zip;7z	PICO	picoarch:fceumm	fceumm	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
nes	NES	FC;nes;famicom	nes;unf;unif;zip;7z	PICO	picoarch:nestopia	nestopia	yes	yes	yes	yes	yes	no	pass	FE auto companion
nes	NES	FC;nes;famicom	nes;unf;unif;zip;7z	PICO	picoarch:quicknes	quicknes	yes	yes	yes	yes	yes	no	pass	FE auto companion
ngp	NGP	NGP;ngp	ngp;zip;7z	RA	retroarch:mednafen_ngp	mednafen_ngp	yes	yes	yes	yes	yes	yes	pass	systems.json
ngp	NGP	NGP;ngp	ngp;zip;7z	PICO	picoarch:mednafen_ngp	mednafen_ngp	yes	yes	yes	yes	yes	no	pass	FE auto companion
ngpc	NGPC	NGPC;NGP;ngpc	ngc;ngpc;zip;7z	RA	retroarch:mednafen_ngp	mednafen_ngp	yes	yes	yes	yes	yes	yes	pass	systems.json
ngpc	NGPC	NGPC;NGP;ngpc	ngc;ngpc;zip;7z	PICO	picoarch:mednafen_ngp	mednafen_ngp	yes	yes	yes	yes	yes	no	pass	FE auto companion
odyssey2	Odyssey2	ODYSSEY2;VIDEOPAC;odyssey2	bin;zip;7z	RA	retroarch:o2em	o2em	yes	yes	yes	yes	yes	yes	pass	systems.json
odyssey2	Odyssey2	ODYSSEY2;VIDEOPAC;odyssey2	bin;zip;7z	PICO	picoarch:o2em	o2em	yes	yes	yes	yes	yes	no	pass	FE auto companion
palm	Palm OS	PALM;palm	prc;pqa;img;pdb;zip	RA	retroarch:mu	mu	yes	yes	yes	yes	yes	yes	untested	systems.json
palm	Palm OS	PALM;palm	prc;pqa;img;pdb;zip	PICO	picoarch:mu	mu	yes	yes	yes	yes	yes	no	untested	FE auto companion
pc88	PC-88	PC88;pc-8800	d88;u88;m3u;zip	RA	retroarch:quasi88	quasi88	yes	yes	yes	yes	yes	yes	pass	systems.json
pc98	PC-98	PC98;pc-9800	d88;fdi;hdi;fdd;nhd;hdd;m3u;zip	RA	retroarch:np2kai	np2kai	yes	yes	yes	yes	yes	yes	pass	systems.json
pc98	PC-98	PC98;pc-9800	d88;fdi;hdi;fdd;nhd;hdd;m3u;zip	RA	retroarch:nekop2	nekop2	yes	yes	yes	yes	yes	no	fail_input	systems.json
pcengine	PC Engine	PCE;pcengine;tg16	pce;sgx;zip;7z	RA	retroarch:mednafen_pce_fast	mednafen_pce_fast	yes	yes	yes	yes	yes	yes	pass	systems.json
pcengine	PC Engine	PCE;pcengine;tg16	pce;sgx;zip;7z	RA	retroarch:mednafen_supergrafx	mednafen_supergrafx	yes	yes	yes	yes	yes	no	pass	systems.json
pcengine	PC Engine	PCE;pcengine;tg16	pce;sgx;zip;7z	RA	retroarch:mednafen_pce	mednafen_pce	yes	yes	yes	yes	yes	no	fail_perf	systems.json
pcengine	PC Engine	PCE;pcengine;tg16	pce;sgx;zip;7z	PICO	picoarch:mednafen_pce_fast	mednafen_pce_fast	yes	yes	yes	yes	yes	no	pass	FE auto companion
pcengine	PC Engine	PCE;pcengine;tg16	pce;sgx;zip;7z	PICO	picoarch:mednafen_supergrafx	mednafen_supergrafx	yes	yes	yes	yes	yes	no	pass	FE auto companion
pcenginecd	PC Engine CD	PCECD;pcenginecd;tg16cd	cue;chd;iso;m3u	RA	retroarch:mednafen_pce_fast	mednafen_pce_fast	yes	yes	yes	yes	yes	yes	pass	systems.json
pcenginecd	PC Engine CD	PCECD;pcenginecd;tg16cd	cue;chd;iso;m3u	RA	retroarch:mednafen_pce	mednafen_pce	yes	yes	yes	yes	yes	no	fail_perf	systems.json
pcenginecd	PC Engine CD	PCECD;pcenginecd;tg16cd	cue;chd;iso;m3u	PICO	picoarch:mednafen_pce_fast	mednafen_pce_fast	yes	yes	yes	yes	yes	no	pass	FE auto companion
pcfx	PC-FX	PCFX;pcfx	cue;ccd;toc;chd;zip;bin	RA	retroarch:mednafen_pcfx	mednafen_pcfx	yes	yes	yes	yes	yes	yes	untested	systems.json
pcfx	PC-FX	PCFX;pcfx	cue;ccd;toc;chd;zip;bin	PICO	picoarch:mednafen_pcfx	mednafen_pcfx	yes	yes	yes	yes	yes	no	untested	FE auto companion
pico8	PICO-8	PICO8;PICO;pico-8	p8;png	RA	retroarch:retro8	retro8	yes	yes	yes	yes	yes	yes	fail_audio	systems.json
pico8	PICO-8	PICO8;PICO;pico-8	p8;png	RA	retroarch:fake08	fake08	yes	yes	yes	yes	yes	no	fail_boot	systems.json
