system_id	display_name	rom_dirs	extensions	runtime	launch_profile	core_id	built_core	deployed_core	fe_selectable	fe_executable	target_for_verification	default_profile	verification_status	notes
cps1	CPS1	CPS1;ARCADE;cps1	zip;7z	RA	retroarch:fbneo	fbneo	yes	yes	yes	yes	yes	yes	pass	systems.json
cps1	CPS1	CPS1;ARCADE;cps1	zip;7z	RA	retroarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	systems.json
cps1	CPS1	CPS1;ARCADE;cps1	zip;7z	RA	retroarch:fbalpha2012_cps1	fbalpha2012_cps1	yes	yes	yes	yes	yes	no	pass	systems.json
cps1	CPS1	CPS1;ARCADE;cps1	zip;7z	PICO	picoarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	pass	FE auto companion
cps1	CPS1	CPS1;ARCADE;cps1	zip;7z	PICO	picoarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	FE auto companion
cps1	CPS1	CPS1;ARCADE;cps1	zip;7z	PICO	picoarch:fbalpha2012_cps1	fbalpha2012_cps1	yes	yes	yes	yes	yes	no	pass	FE auto companion
cps2	CPS2	CPS2;ARCADE;cps2	zip;7z	RA	retroarch:fbneo	fbneo	yes	yes	yes	yes	yes	yes	pass	systems.json
cps2	CPS2	CPS2;ARCADE;cps2	zip;7z	RA	retroarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	systems.json
cps2	CPS2	CPS2;ARCADE;cps2	zip;7z	RA	retroarch:fbalpha2012_cps2	fbalpha2012_cps2	yes	yes	yes	yes	yes	no	pass	systems.json
cps2	CPS2	CPS2;ARCADE;cps2	zip;7z	PICO	picoarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	pass	FE auto companion
cps2	CPS2	CPS2;ARCADE;cps2	zip;7z	PICO	picoarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	FE auto companion
cps2	CPS2	CPS2;ARCADE;cps2	zip;7z	PICO	picoarch:fbalpha2012_cps2	fbalpha2012_cps2	yes	yes	yes	yes	yes	no	pass	FE auto companion
cps3	CPS3	CPS3;ARCADE;cps3	zip;7z	RA	retroarch:fbneo	fbneo	yes	yes	yes	yes	yes	yes	pass	systems.json
cps3	CPS3	CPS3;ARCADE;cps3	zip;7z	RA	retroarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	systems.json
cps3	CPS3	CPS3;ARCADE;cps3	zip;7z	PICO	picoarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	pass	FE auto companion
cps3	CPS3	CPS3;ARCADE;cps3	zip;7z	PICO	picoarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	FE auto companion
daphne	Daphne	DAPHNE;daphne	zip	RA	retroarch:daphne	daphne	yes	yes	yes	yes	yes	yes	untested	systems.json
daphne	Daphne	DAPHNE;daphne	zip	PICO	picoarch:daphne	daphne	yes	yes	yes	yes	yes	no	untested	FE auto companion
dinothawr	Dinothawr	DINOTHAWR;dinothawr	game	RA	retroarch:dinothawr	dinothawr	yes	yes	yes	yes	yes	yes	untested	systems.json
dinothawr	Dinothawr	DINOTHAWR;dinothawr	game	PICO	picoarch:dinothawr	dinothawr	yes	yes	yes	yes	yes	no	untested	FE auto companion
doom	Doom	DOOM;doom	wad;iwad;pwad;zip	RA	retroarch:prboom	prboom	yes	yes	yes	yes	yes	yes	untested	systems.json
doom	Doom	DOOM;doom	wad;iwad;pwad;zip	PICO	picoarch:prboom	prboom	yes	yes	yes	yes	yes	no	untested	FE auto companion
dos	DOS	DOS;pc	dosz;conf;exe;bat;zip	RA	retroarch:dosbox_pure	dosbox_pure	yes	yes	yes	yes	yes	yes	pass	systems.json
dos	DOS	DOS;pc	dosz;conf;exe;bat;zip	PICO	picoarch:dosbox_pure	dosbox_pure	yes	yes	yes	yes	yes	no	fail_input	FE auto companion
easyrpg	EasyRPG	EASYRPG;easyrpg	easyrpg;ldb;zip	RA	retroarch:easyrpg	easyrpg	yes	yes	yes	yes	yes	no	fail_audio	systems.json
easyrpg	EasyRPG	EASYRPG;easyrpg	easyrpg;ldb;zip	PICO	picoarch:easyrpg	easyrpg	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
fbneo	FBNeo	FBNEO;ARCADE;fbneo	zip;7z	RA	retroarch:fbneo	fbneo	yes	yes	yes	yes	yes	yes	pass	systems.json
fbneo	FBNeo	FBNEO;ARCADE;fbneo	zip;7z	PICO	picoarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	pass	FE auto companion
fds	FDS	FDS;FC;fds	fds;zip;7z	RA	retroarch:fceumm	fceumm	yes	yes	yes	yes	yes	yes	pass	systems.json
fds	FDS	FDS;FC;fds	fds;zip;7z	RA	retroarch:nestopia	nestopia	yes	yes	yes	yes	yes	no	pass	systems.json
fds	FDS	FDS;FC;fds	fds;zip;7z	PICO	picoarch:fceumm	fceumm	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
fds	FDS	FDS;FC;fds	fds;zip;7z	PICO	picoarch:nestopia	nestopia	yes	yes	yes	yes	yes	no	pass	FE auto companion
flashback	Flashback	FLASHBACK;flashback	map;aba;seq;lev	RA	retroarch:reminiscence	reminiscence	yes	yes	yes	yes	yes	yes	untested	systems.json
flashback	Flashback	FLASHBACK;flashback	map;aba;seq;lev	PICO	picoarch:reminiscence	reminiscence	yes	yes	yes	yes	yes	no	untested	FE auto companion
gameandwatch	Game & Watch	GW;GAMEANDWATCH;gameandwatch	mgw;zip;7z	RA	retroarch:gw	gw	yes	yes	yes	yes	yes	yes	pass	systems.json
gameandwatch	Game & Watch	GW;GAMEANDWATCH;gameandwatch	mgw;zip;7z	PICO	picoarch:gw	gw	yes	yes	yes	yes	yes	no	pass	FE auto companion
gamegear	Game Gear	GG;GameGear;MD;gamegear	gg;zip;7z	RA	retroarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	yes	pass	systems.json
gamegear	Game Gear	GG;GameGear;MD;gamegear	gg;zip;7z	RA	retroarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	systems.json
gamegear	Game Gear	GG;GameGear;MD;gamegear	gg;zip;7z	RA	retroarch:gearsystem	gearsystem	yes	yes	yes	yes	yes	no	pass	systems.json
gamegear	Game Gear	GG;GameGear;MD;gamegear	gg;zip;7z	PICO	picoarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	no	pass	FE auto companion
gamegear	Game Gear	GG;GameGear;MD;gamegear	gg;zip;7z	PICO	picoarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	FE auto companion
gamegear	Game Gear	GG;GameGear;MD;gamegear	gg;zip;7z	PICO	picoarch:gearsystem	gearsystem	yes	yes	yes	yes	yes	no	pass	FE auto companion
gb	GB	GB;gb	gb;zip;7z	RA	retroarch:gambatte	gambatte	yes	yes	yes	yes	yes	yes	pass	systems.json
gb	GB	GB;gb	gb;zip;7z	RA	retroarch:mgba	mgba	yes	yes	yes	yes	yes	no	fail_boot	systems.json
gb	GB	GB;gb	gb;zip;7z	RA	retroarch:gearboy	gearboy	yes	yes	yes	yes	yes	no	pass	systems.json
gb	GB	GB;gb	gb;zip;7z	RA	retroarch:tgbdual	tgbdual	yes	yes	yes	yes	yes	no	pass	systems.json
gb	GB	GB;gb	gb;zip;7z	RA	retroarch:vbam	vbam	yes	yes	yes	yes	yes	no	pass	systems.json
gb	GB	GB;gb	gb;zip;7z	PICO	picoarch:gambatte	gambatte	yes	yes	yes	yes	yes	no	pass	FE auto companion
gb	GB	GB;gb	gb;zip;7z	PICO	picoarch:mgba	mgba	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
gb	GB	GB;gb	gb;zip;7z	PICO	picoarch:gearboy	gearboy	yes	yes	yes	yes	yes	no	pass	FE auto companion
gb	GB	GB;gb	gb;zip;7z	PICO	picoarch:vbam	vbam	yes	yes	yes	yes	yes	no	pass	FE auto companion
gba	GBA	GBA;gba	gba;zip;7z	RA	retroarch:mgba	mgba	yes	yes	yes	yes	yes	yes	fail_boot	systems.json
gba	GBA	GBA;gba	gba;zip;7z	RA	retroarch:gpsp	gpsp	yes	yes	yes	yes	yes	no	pass	systems.json
