# system	crc	thumbnail_label	source
# Verified rescue seeds used to generate kind-specific crc -> thumbnail href
# overlays during prefetch/build. Rows must not duplicate the base libretro
# CRC index, and each thumbnail_label must exist in the libretro thumbnail
# index for the generated kind.
#
# nesterj-famicom-dat/date-publisher rows are derived from NesterJ_AoEX_R3
# famicom.dat records whose release date and publisher resolve to one
# unambiguous libretro NES thumbnail label. Ambiguous rows are intentionally
# omitted to avoid downloading the wrong image.
nes	57783e71	Osomatsu Kun (1989-12-08)(Bandai)(JP)	nesterj-famicom-dat/date-publisher
nes	838bf76f	Outlanders (1987-12-04)(Victor Ongaku Sangyou)(JP)	nesterj-famicom-dat/date-publisher
nes	e28f2596	Pac-Land (1985-11-21)(Namco)(JP)	nesterj-famicom-dat/date-publisher
nes	99b73746	Pooyan (1985-09-20)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	6b5ca5ae	RoboCop (1989-08-25)(Data East)(JP)	nesterj-famicom-dat/date-publisher
nes	2565786d	Rolling Thunder (1989-03-17)(Namco)(JP)	nesterj-famicom-dat/date-publisher
nes	203d32ab	Saiyuuki World (1988-11-11)(Jaleco)(JP)	nesterj-famicom-dat/date-publisher
nes	a9a4ea4c	Satomi Hakkenden (1989-01-20)(SNK)(JP)	nesterj-famicom-dat/date-publisher
nes	05f04eac	SD Keiji - Blader (1991-08-02)(Taito)(JP)	nesterj-famicom-dat/date-publisher
nes	0caf2f15	Seicross (1986-05-15)(Nihon Bussan)(JP)	nesterj-famicom-dat/date-publisher
nes	e61e89ee	Shanghai (1987-12-01)(Sunsoft)(JP)	nesterj-famicom-dat/date-publisher
nes	e62a531b	Shanghai II (1990-08-24)(Sunsoft)(JP)	nesterj-famicom-dat/date-publisher
nes	bc1fbd7b	Shikinjou (1991-04-26)(Touei Douga)(JP)	nesterj-famicom-dat/date-publisher
nes	03fc2b59	Shin Jinrui - The New Type (1987-02-10)(Ricoh Elemex)(JP)	nesterj-famicom-dat/date-publisher
nes	589b2ec8	Spelunker (1985-12-06)(Irem)(JP)	nesterj-famicom-dat/date-publisher
nes	5e98ba4a	Spelunker 2 - Yuusha heno Chousen (1987-09-18)(Irem)(JP)	nesterj-famicom-dat/date-publisher
nes	6823cbc8	Star Force (1985-06-25)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	28c11d24	Sukeban Deka 3 (1988-01-22)(Touei Douga)(JP)	nesterj-famicom-dat/date-publisher
nes	b1494b9e	Super Dyna'mix Badminton (1988-08-26)(Vap)(JP)	nesterj-famicom-dat/date-publisher
nes	9f8f200a	Super Mogura Tataki!! - Pokkun Mogurar (1989-12-08)(IGS)(JP)	nesterj-famicom-dat/date-publisher
nes	ee60b5d6	Super Xevious - Gump no Nazo (1986-09-19)(Namco)(JP)	nesterj-famicom-dat/date-publisher
nes	45917511	Sweet Home (1989-12-15)(Capcom)(JP)	nesterj-famicom-dat/date-publisher
nes	603c8abe	Takahashi Meijin no Bouken Jima (1986-09-12)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	bb4ee993	Takeshi no Chousenjou (1986-12-10)(Taito)(JP)	nesterj-famicom-dat/date-publisher
nes	2f27cdef	Tatakae!! Rahmen Man - Sakuretsu Choujin 102 Gei (1988-08-10)(Bandai)(JP)	nesterj-famicom-dat/date-publisher
nes	b807446e	Tetris (1988-12-22)(BPS)(JP)	nesterj-famicom-dat/date-publisher
nes	942f6bb0	Tetsudou Ou - Famicom Boardgame (1987-12-01)(DB Soft)(JP)	nesterj-famicom-dat/date-publisher
nes	e940d56f	Thexder (1985-12-19)(Square)(JP)	nesterj-famicom-dat/date-publisher
nes	e46c156d	Tiger-Heli (1986-12-05)(Pony Canyon)(JP)	nesterj-famicom-dat/date-publisher
nes	c3ba98ee	Tiny Toon Adventures (1991-12-20)(Konami)(JP)	nesterj-famicom-dat/date-publisher
nes	957f3d28	Top Gun (1987-12-11)(Konami)(JP)	nesterj-famicom-dat/date-publisher
nes	493680c8	Top Gun (1987-12-11)(Konami)(JP)	nesterj-famicom-dat/date-publisher
nes	9f85fa70	Transformers - Comvoy no Nazo (1986-12-05)(Takara)(JP)	nesterj-famicom-dat/date-publisher
nes	6e4697bf	Untouchables, The (1991-12-20)(Altron)(JP)	nesterj-famicom-dat/date-publisher
nes	8442b86c	Urusei Yatsura - Lum no Wedding Bell (1986-10-23)(Jaleco)(JP)	nesterj-famicom-dat/date-publisher
nes	504c6455	Warpman (1985-07-12)(Namco)(JP)	nesterj-famicom-dat/date-publisher
nes	fcfa4c1e	Woody Poko (1987-06-20)(DB Soft)(JP)	nesterj-famicom-dat/date-publisher
nes	abef6b83	Yume Penguin Monogatari (1991-01-25)(Konami)(JP)	nesterj-famicom-dat/date-publisher
